filename,codec,episode,episode_title,language,media_type,resolution,season,source,studio,title,year
[Underwater] Attack on Titan - 18 [BD][2160p][Uncensored].mkv,,18,,,anime,2160p,,,Underwater,Attack on Titan,
Demon Slayer 2014 1440p BluRay MP3 x265 -SPARKS.mkv,x265,,,,movie,1440p,,BluRay,,Demon Slayer,2014
Avengers Endgame.S10E18.480p.HULU.mkv,,18,,,tv,,10,,,Avengers Endgame,
The Matrix S04E20 Aftermath 2160p NETFLIX x264 -GECKOS.mkv,,20,Revelations,,tv,2160p,4,NETFLIX,,The Matrix,
Fight-Club-S10E20-21-Revelations-2160p-AMZN-x264-RARBG.mkv,,20,Aftermath,,tv,2160p,10,AMZN,,Fight Club,
Interstellar 1999 1080p WEBRip AVC.mkv,AVC,,,,movie,1080p,,WEBRip,,Interstellar,1999
The_Office_S07E02_1080p_IMAX_BDRip_H.264_-FraMeSToR.mkv,,2,,,tv,1080p,7,BDRip,,The Office,
Friends 1991 2160p BDRip DTS HEVC -GROUP.mkv,HEVC,,,,movie,2160p,,BDRip,,Friends,1991
[SubsPlease] My Hero Academia - 05 [1440p].mkv,,5,,,anime,,,,SubsPlease,My Hero Academia,
[Underwater] The Office - 08 [2160p].mkv,,8,,,anime,2160p,,,Underwater,The Office,
Parasite S06E05-06 1440p UNRATED BDRip XVID.mkv,,5,,,tv,1440p,6,BDRip,,Parasite,
Jujutsu Kaisen.S07E9.720p.WEBRip.mkv,,9,,,tv,,7,,,Jujutsu Kaisen,
One-Piece-2014-SPANISH-EXTENDED-480p-HULU-XVID-GROUP.mkv,XVID,,,SPANISH,movie,480p,,HULU,,One Piece,2014
Jujutsu_Kaisen_1988.03.19_New_Dawn_REMASTERED_DD5.1_1440p_NETFLIX_HEVC_.SPARKS.mkv,,,Origins,,tv,1440p,,NETFLIX,,Jujutsu Kaisen,
Naruto 1988 PROPER 480p AC3 HDTV H.264.mkv,H.264,,,,movie,480p,,HDTV,,Naruto,1988
Death-Note-2021-RUSSIAN-480p-WEB-DL-AVC-SPARKS.mkv,AVC,,,RUSSIAN,movie,480p,,WEB-DL,,Death Note,2021
The_Mandalorian_2003_2160p_AMZN_MP3_HEVC_.GECKOS.mkv,HEVC,,,,movie,2160p,,AMZN,,The Mandalorian,2003
The Mandalorian.2019.720p.NETFLIX.HEVC.mkv,,,,,movie,720p,,,,The Mandalorian,2019
My-Hero-Academia-S06E01-1080p-EXTENDED-AAC-HULU-AVC.mkv,,1,,,tv,1080p,6,HULU,,My Hero Academia,
Fullmetal-Alchemist-S04E15-New-Dawn-2160p-BDRip-x265-.SPARKS.mkv,,15,The End,,tv,2160p,4,BDRip,,Fullmetal Alchemist,
[Erai-raws] Demon.Slayer.-.08.(1080p).mkv,,8,,,anime,1080p,,,Erai-raws,Demon Slayer,
Inception_8x19_The_Beginning_HDR_720p_HDTV_H.264_-GROUP.mkv,,19,Pilot,,tv,720p,8,HDTV,,Inception,
[Underwater] Inception - 11 [720p][10bit].mkv,,11,,,anime,720p,,,Underwater,Inception,
Attack_on_Titan_1984_1440p_BluRay_AAC_x264_-GECKOS.mkv,x264,,,,movie,1440p,,BluRay,,Attack on Titan,1984
Attack_on_Titan_1994.08.19_The_Beginning_2160p_NETFLIX_x264_-AMIABLE.mkv,,,Origins,,tv,2160p,,NETFLIX,,Attack on Titan,
Breaking Bad 2012 ITALIAN 720p WEBRip DTS-HD.MA.5.1 HEVC.mkv,HEVC,,,ITALIAN,movie,720p,,WEBRip,,Breaking Bad,2012
